IDCardNo        XLoc        YLoc        gender        age        isVac
751797        736        911        Male        41        Yes
238011        709        775        Female        65        No
265957        413        143        Female        59        Yes
515640        248        104        Male        61        Yes
765041        116        67        Male        47        Yes
219926        731        503        Male        34        Yes
820870        177        926        Female        46        No
865149        722        637        Male        35        Yes
359429        789        19        Male        5        Yes
870638        639        487        Male        24        Yes
207044        355        575        Male        51        Yes
327507        643        16        Male        5        No
252814        254        727        Female        61        Yes
604417        464        599        Male        11        No
590957        176        853        Female        47        Yes
049653        780        450        Male        48        No
207914        762        799        Female        62        No
977415        176        737        Male        37        No
373688        873        332        Male        29        No
474352        600        583        Male        53        No
383561        496        692        Male        23        Yes
297815        129        558        Male        15        No
986755        526        780        Female        46        Yes
264886        640        891        Female        58        No
385049        672        48        Female        54        No
531279        333        262        Male        23        No
716093        673        738        Male        49        No
385357        46        733        Female        10        Yes
904756        317        972        Male        18        Yes
979747        606        208        Female        25        No
653888        941        148        Female        64        Yes
975772        169        829        Female        34        Yes
164124        179        308        Male        27        No
326154        366        818        Female        31        No
254396        313        966        Male        12        No
348132        470        658        Female        17        No
202518        477        535        Male        23        Yes
499475        234        416        Female        45        Yes
677992        414        419        Male        9        No
020421        770        725        Male        41        Yes
170453        437        471        Female        61        Yes
080439        795        941        Female        70        No
246779        437        842        Male        56        Yes
031672        196        656        Male        3        No
129819        624        95        Male        43        Yes
524895        811        681        Male        54        No
638027        344        268        Female        38        No
111063        492        472        Female        60        No
563394        119        438        Female        28        Yes
335874        483        247        Male        26        No
383056        670        925        Female        34        No
798878        113        977        Female        4        Yes
387481        363        785        Male        33        No
213570        450        820        Female        40        No
444587        815        714        Male        34        Yes
166016        302        739        Female        47        Yes
548418        515        925        Male        1        Yes
598506        304        545        Female        17        No
555854        180        822        Female        35        Yes
312118        191        16        Male        65        Yes
928736        264        6        Female        16        Yes
110196        568        422        Male        23        No
253137        822        501        Female        27        No
204040        842        867        Female        57        Yes
961272        188        747        Female        18        Yes
960387        746        107        Male        60        No
621732        238        815        Female        24        Yes
846794        88        559        Male        60        Yes
570953        60        681        Male        21        No
063442        75        792        Male        26        No
858822        940        954        Female        4        No
067301        126        902        Female        42        No
445193        435        358        Male        5        Yes
127773        230        645        Female        35        Yes
287487        78        946        Female        26        No
070401        163        161        Female        44        No
423026        502        52        Male        19        No
990052        254        665        Male        56        Yes
431752        407        488        Male        6        Yes
122106        682        478        Female        16        Yes
220206        656        768        Male        38        No
228590        772        758        Female        47        No
753562        871        666        Male        14        Yes
403907        346        529        Male        4        No
252244        118        299        Male        12        Yes
575455        560        531        Female        40        No
174247        55        181        Female        68        Yes
895422        201        934        Female        41        No
242536        150        429        Male        24        No
301845        612        416        Female        9        Yes
844692        709        907        Female        39        Yes
095144        873        218        Male        50        Yes
320440        79        308        Female        65        Yes
633152        5        910        Male        20        Yes
518000        652        987        Male        66        No
648205        479        698        Male        1        No
951999        663        925        Male        41        Yes
409557        72        772        Male        67        Yes
290914        425        234        Female        69        No
702906        794        263        Female        44        No
628261        648        952        Male        61        No
651521        864        718        Female        52        Yes
830920        40        121        Male        69        No
550034        668        735        Male        63        No
056128        429        457        Male        38        No
055059        935        819        Female        27        Yes
044864        572        291        Male        57        Yes
033032        127        923        Female        64        No
970272        322        361        Male        34        Yes
782114        102        539        Female        46        No
462049        896        795        Female        49        No
273558        442        803        Male        6        No
757274        747        773        Female        65        Yes
055483        905        197        Male        5        No
477537        63        497        Female        55        No
675798        977        826        Male        55        Yes
786234        849        134        Female        61        Yes
461104        22        52        Male        32        No
174631        386        864        Male        9        No
850625        394        129        Female        35        No
319516        556        273        Female        49        Yes
923735        449        975        Female        35        Yes
168604        70        973        Female        32        No
634024        594        709        Female        63        Yes
902472        537        377        Male        39        No
511101        667        439        Female        1        No
393280        151        302        Male        11        No
489886        900        972        Female        58        No
307848        591        517        Male        6        No
796854        999        471        Male        33        Yes
452759        755        428        Male        37        Yes
351879        147        246        Female        10        Yes
875590        3        925        Male        22        Yes
247309        314        538        Male        19        Yes
580233        934        932        Female        28        No
476102        251        607        Male        21        No
508801        290        561        Female        43        No
364085        312        270        Male        36        Yes
705430        830        902        Female        20        Yes
844484        444        11        Male        18        Yes
647581        377        983        Female        21        Yes
480763        268        665        Female        19        Yes
309223        917        857        Male        16        No
544428        0        932        Female        7        Yes
949467        460        36        Male        30        No
109874        145        336        Female        3        Yes
463962        356        261        Male        9        No
513416        540        578        Male        55        No
021759        170        165        Male        43        Yes
175449        217        418        Female        37        Yes
182098        456        98        Female        32        No
937027        416        431        Male        65        Yes
252290        408        192        Female        64        No
912292        347        288        Female        53        Yes
819737        752        136        Female        19        No
042896        823        119        Male        26        No
384862        333        915        Female        6        No
734444        704        748        Male        29        No
472033        379        7        Female        21        No
223068        299        925        Female        43        Yes
253543        712        890        Male        45        No
530272        697        488        Female        21        No
677073        194        890        Male        13        No
667887        830        261        Female        37        Yes
928450        522        205        Male        19        No
325407        450        370        Female        33        Yes
176768        991        7        Male        33        No
436359        782        868        Female        56        No
796150        934        681        Female        64        Yes
309009        246        930        Female        7        Yes
285126        712        838        Female        6        No
981827        681        425        Male        65        No
505585        496        847        Male        51        Yes
223869        884        904        Female        58        Yes
504946        511        898        Female        12        No
022093        723        810        Male        56        Yes
763455        653        899        Female        1        Yes
103695        315        522        Male        59        Yes
797916        267        996        Female        22        Yes
018543        436        911        Female        13        No
000767        277        270        Female        41        Yes
263532        925        954        Female        69        No
991674        460        211        Male        68        No
834358        835        355        Male        51        No
773435        868        494        Female        60        Yes
578577        45        877        Female        27        Yes
247374        845        287        Female        44        Yes
911383        252        62        Female        43        Yes
438306        369        155        Male        16        No
651771        859        512        Female        47        Yes
787732        1        215        Female        29        No
853041        942        333        Male        27        No
471892        188        272        Female        54        No
329918        395        995        Male        70        No
124767        570        150        Male        32        No
617993        411        647        Female        21        No
668822        179        234        Female        17        No
616053        646        309        Female        62        No
339347        825        712        Male        52        No
508140        967        50        Male        6        No
727291        945        365        Female        7        Yes
308752        750        690        Female        25        Yes
142992        762        541        Male        24        Yes
797077        472        922        Female        40        No
761049        812        946        Male        1        Yes
520133        869        296        Male        61        No
923267        403        378        Male        66        No
910433        863        739        Female        67        Yes
026092        634        917        Male        62        Yes
902244        258        559        Female        2        Yes
354370        461        265        Female        43        No
420018        927        165        Male        47        No
992614        377        511        Female        6        Yes
970599        119        668        Male        55        No
132851        968        340        Female        67        Yes
223558        625        192        Male        63        No
830252        945        235        Female        14        Yes
828973        324        45        Male        30        No
995869        287        126        Female        13        Yes
008581        934        513        Male        1        Yes
173311        739        687        Male        64        No
257169        51        426        Female        62        Yes
298332        664        309        Female        57        No
525783        754        558        Female        67        Yes
952551        25        173        Male        3        Yes
703477        559        664        Male        2        No
854053        770        384        Female        56        Yes
841010        59        676        Female        53        Yes
421414        266        911        Male        57        No
448410        381        249        Female        51        Yes
883394        495        440        Male        29        Yes
460626        79        707        Male        21        No
515257        776        354        Male        57        Yes
463871        633        818        Female        9        Yes
622973        663        6        Male        39        Yes
164831        307        260        Male        10        Yes
745437        768        169        Male        15        No
817228        66        854        Female        68        No
869012        3        880        Male        42        No
738053        421        109        Male        7        Yes
684915        72        918        Female        47        Yes
936884        874        169        Male        45        Yes
664951        470        665        Male        57        Yes
291532        716        465        Female        44        Yes
855802        302        956        Male        62        No
359059        157        96        Female        17        No
344051        309        514        Male        19        Yes
169955        36        219        Male        49        No
403944        547        620        Male        61        No
954880        135        115        Female        65        No
506224        14        975        Male        19        No
997143        814        2        Female        15        Yes
662327        200        636        Male        3        Yes
010675        559        519        Male        63        Yes
525982        30        990        Male        19        Yes
346373        666        802        Male        25        Yes
453908        295        611        Male        20        Yes
488830        448        601        Male        38        Yes
960679        502        723        Female        6        Yes
512579        367        265        Female        27        Yes
816517        502        920        Female        39        No
385072        915        89        Female        13        Yes
039839        220        176        Male        17        Yes
411772        75        786        Female        58        Yes
896576        96        830        Male        32        Yes
682747        884        616        Male        37        No
308505        326        175        Male        25        Yes
639478        195        66        Male        4        Yes
519343        898        330        Female        15        Yes
624987        479        878        Male        50        No
471222        733        275        Male        62        No
502585        164        168        Female        27        Yes
863555        967        495        Male        47        No
512379        300        465        Female        68        No
876812        369        752        Female        53        Yes
119036        691        86        Female        51        Yes
992985        883        461        Male        41        Yes
850640        74        134        Female        18        Yes
998019        748        994        Female        6        Yes
815575        481        403        Male        60        No
404082        776        933        Male        50        No
061150        482        986        Male        55        No
391780        585        870        Male        34        No
928134        459        580        Female        18        Yes
839528        329        732        Female        12        Yes
018348        273        778        Male        14        Yes
554463        755        129        Male        28        No
178081        109        151        Female        16        No
607526        934        587        Male        70        No
549626        123        214        Male        53        No
054514        459        531        Male        41        No
961050        553        670        Male        8        Yes
268927        417        102        Female        26        No
614598        690        596        Female        14        Yes
247610        108        70        Female        50        Yes
306812        623        776        Male        10        Yes
122878        255        359        Female        60        No
496413        460        95        Male        4        Yes
692166        576        326        Male        16        Yes
154442        894        257        Female        48        Yes
747761        397        36        Female        29        Yes
990770        792        169        Female        12        No
930102        76        457        Male        20        Yes
561331        955        478        Male        10        No
486422        415        524        Female        37        No
366926        276        325        Male        37        No
687763        353        318        Female        64        Yes
319620        38        274        Female        59        No
929408        730        850        Male        19        Yes
241644        683        471        Female        15        No
