IDCardNo        SymptomLevel        Status        HospitalID
499475        Critical        Confirmed        HOld1
777378        Mild        Recovered        HOld2
207914        Mild        Confirmed        HOld7
048166        Critical        Confirmed        HOld8
843791        Critical        Recovered        HOld8
541079        Critical        Confirmed        HOld1
616053        Critical        Confirmed        HOld4
253137        Moderate        Recovered        HOld7
982584        Mild        Confirmed        HOld4
616053        Critical        Recovered        HOld4
041419        Mild        Confirmed        HOld3
544428        Moderate        Confirmed        HOld3
548418        Mild        Confirmed        HOld8
359059        Critical        Confirmed        HOld5
211311        Mild        Recovered        HOld10
302559        Mild        Confirmed        HOld10
002122        Critical        Recovered        HOld6
225858        Mild        Confirmed        HOld10
173422        Moderate        Confirmed        HOld4
505585        Mild        Confirmed        HOld8
670244        Moderate        Confirmed        HOld4
154442        Moderate        Confirmed        HOld10
639791        Moderate        Confirmed        HOld7
756113        Mild        Recovered        HOld2
775758        Moderate        Confirmed        HOld9
987184        Moderate        Confirmed        HOld1
667087        Moderate        Recovered        HOld8
794974        Mild        Confirmed        HOld3
203546        Critical        Recovered        HOld9
046788        Critical        Confirmed        HOld4
863317        Moderate        Recovered        HOld4
137143        Mild        Confirmed        HOld7
701820        Critical        Confirmed        HOld4
046788        Critical        Recovered        HOld4
819644        Critical        Confirmed        HOld4
192165        Moderate        Confirmed        HOld7
624026        Moderate        Recovered        HOld8
812833        Mild        Confirmed        HOld4
022457        Critical        Confirmed        HOld8
137143        Mild        Recovered        HOld7
431752        Mild        Confirmed        HOld2
349819        Moderate        Confirmed        HOld9
499475        Critical        Recovered        HOld1
279995        Critical        Confirmed        HOld8
830920        Critical        Recovered        HOld1
525394        Moderate        Confirmed        HOld6
828973        Critical        Confirmed        HOld5
192165        Moderate        Recovered        HOld7
302435        Critical        Confirmed        HOld3
816517        Critical        Confirmed        HOld8
384862        Mild        Confirmed        HOld8
359059        Critical        Recovered        HOld5
325974        Moderate        Confirmed        HOld4
794974        Mild        Recovered        HOld3
598450        Moderate        Confirmed        HOld4
692715        Moderate        Confirmed        HOld4
283260        Mild        Recovered        HOld7
598109        Critical        Confirmed        HOld6
436359        Critical        Confirmed        HOld7
812833        Mild        Recovered        HOld4
383561        Mild        Confirmed        HOld2
448410        Critical        Confirmed        HOld1
930397        Mild        Confirmed        HOld10
717630        Critical        Confirmed        HOld10
692715        Moderate        Recovered        HOld4
026092        Moderate        Confirmed        HOld8
173422        Moderate        Recovered        HOld4
178081        Moderate        Confirmed        HOld1
456336        Mild        Confirmed        HOld7
290914        Critical        Confirmed        HOld4
525394        Moderate        Recovered        HOld6
312369        Moderate        Confirmed        HOld4
858822        Moderate        Confirmed        HOld7
154442        Moderate        Recovered        HOld10
340934        Mild        Confirmed        HOld4
272478        Critical        Confirmed        HOld4
368022        Critical        Confirmed        HOld10
625519        Moderate        Confirmed        HOld5
341501        Mild        Confirmed        HOld4
531278        Moderate        Confirmed        HOld1
505585        Mild        Recovered        HOld8
028079        Critical        Confirmed        HOld1
022457        Critical        Recovered        HOld8
063442        Mild        Confirmed        HOld3
136697        Mild        Confirmed        HOld5
354462        Mild        Confirmed        HOld8
026092        Moderate        Recovered        HOld8
346373        Mild        Confirmed        HOld8
763455        Moderate        Recovered        HOld8
021759        Critical        Confirmed        HOld1
279995        Critical        Recovered        HOld8
306812        Mild        Confirmed        HOld8
896576        Critical        Confirmed        HOld3
249816        Mild        Confirmed        HOld3
340934        Mild        Recovered        HOld4
188040        Moderate        Confirmed        HOld10
341501        Mild        Recovered        HOld4
604417        Critical        Confirmed        HOld2
729827        Mild        Confirmed        HOld2
368022        Critical        Recovered        HOld10
303259        Moderate        Confirmed        HOld8
067301        Mild        Confirmed        HOld3
747761        Moderate        Recovered        HOld4
252928        Moderate        Confirmed        HOld4
325974        Moderate        Recovered        HOld4
692715        Critical        Confirmed        HOld4
598109        Critical        Recovered        HOld6
568404        Critical        Confirmed        HOld9
477945        Mild        Confirmed        HOld10
692715        Critical        Recovered        HOld4
335874        Critical        Confirmed        HOld4
651771        Critical        Recovered        HOld7
531279        Critical        Confirmed        HOld5
383561        Mild        Recovered        HOld2
473354        Critical        Confirmed        HOld8
067301        Mild        Recovered        HOld3
360910        Critical        Confirmed        HOld3
958005        Mild        Confirmed        HOld4
742588        Critical        Confirmed        HOld4
598500        Mild        Recovered        HOld2
122175        Moderate        Confirmed        HOld7
523588        Critical        Confirmed        HOld9
302435        Critical        Recovered        HOld3
132851        Mild        Confirmed        HOld10
477945        Mild        Recovered        HOld10
452711        Moderate        Confirmed        HOld9
404082        Moderate        Confirmed        HOld8
855226        Critical        Confirmed        HOld4
858822        Moderate        Recovered        HOld7
160867        Moderate        Confirmed        HOld7
971457        Critical        Confirmed        HOld3
608720        Mild        Recovered        HOld7
895944        Critical        Confirmed        HOld10
486189        Moderate        Confirmed        HOld9
252928        Moderate        Recovered        HOld4
875832        Critical        Confirmed        HOld7
828491        Moderate        Confirmed        HOld9
436359        Critical        Recovered        HOld7
103616        Mild        Confirmed        HOld7
290914        Critical        Recovered        HOld4
498513        Moderate        Confirmed        HOld8
122175        Moderate        Recovered        HOld7
615461        Moderate        Confirmed        HOld10
677992        Mild        Confirmed        HOld2
844692        Moderate        Confirmed        HOld7
388912        Moderate        Confirmed        HOld1
875832        Critical        Recovered        HOld7
684915        Mild        Confirmed        HOld3
461859        Mild        Confirmed        HOld2
338537        Moderate        Recovered        HOld8
104457        Mild        Confirmed        HOld10
819644        Critical        Recovered        HOld4
480763        Moderate        Confirmed        HOld9
067301        Mild        Confirmed        HOld3
601290        Moderate        Confirmed        HOld9
448410        Critical        Recovered        HOld1
056128        Moderate        Confirmed        HOld9
761049        Mild        Confirmed        HOld7
480763        Moderate        Recovered        HOld9
259771        Moderate        Confirmed        HOld1
325407        Mild        Confirmed        HOld4
151695        Critical        Confirmed        HOld4
717630        Critical        Recovered        HOld10
623019        Critical        Confirmed        HOld4
435962        Critical        Confirmed        HOld6
964980        Mild        Confirmed        HOld1
306812        Mild        Recovered        HOld8
266118        Moderate        Confirmed        HOld10
601052        Mild        Confirmed        HOld7
360910        Critical        Recovered        HOld3
745437        Mild        Confirmed        HOld6
793525        Critical        Confirmed        HOld3
855226        Critical        Recovered        HOld4
187655        Critical        Confirmed        HOld8
110433        Mild        Confirmed        HOld7
615461        Moderate        Recovered        HOld10
496413        Mild        Confirmed        HOld4
110433        Mild        Recovered        HOld7
285254        Critical        Confirmed        HOld4
294413        Critical        Confirmed        HOld3
351374        Critical        Confirmed        HOld10
041419        Mild        Recovered        HOld3
344051        Moderate        Confirmed        HOld9
136697        Mild        Recovered        HOld5
760667        Mild        Confirmed        HOld10
828491        Moderate        Recovered        HOld9
845345        Mild        Confirmed        HOld2
383755        Critical        Recovered        HOld10
655497        Critical        Confirmed        HOld10
551915        Moderate        Confirmed        HOld4
050278        Mild        Recovered        HOld7
756113        Moderate        Confirmed        HOld4
426841        Mild        Confirmed        HOld2
294400        Critical        Confirmed        HOld8
452711        Moderate        Recovered        HOld9
828491        Moderate        Confirmed        HOld9
601258        Mild        Confirmed        HOld7
187655        Critical        Recovered        HOld8
889598        Moderate        Confirmed        HOld1
294400        Critical        Recovered        HOld8
991674        Critical        Confirmed        HOld1
266118        Moderate        Recovered        HOld10
514548        Moderate        Confirmed        HOld7
104457        Mild        Recovered        HOld10
982069        Moderate        Confirmed        HOld9
718609        Critical        Confirmed        HOld8
598450        Moderate        Recovered        HOld4
279995        Critical        Confirmed        HOld8
551915        Moderate        Recovered        HOld4
817228        Moderate        Confirmed        HOld9
760667        Mild        Recovered        HOld10
308505        Critical        Confirmed        HOld9
164831        Critical        Confirmed        HOld9
475664        Moderate        Confirmed        HOld9
541079        Critical        Recovered        HOld1
822439        Critical        Confirmed        HOld1
384862        Mild        Recovered        HOld8
411772        Moderate        Confirmed        HOld9
844692        Moderate        Recovered        HOld7
662327        Moderate        Confirmed        HOld9
340201        Mild        Recovered        HOld1
527710        Moderate        Confirmed        HOld1
618698        Mild        Confirmed        HOld3
879557        Mild        Confirmed        HOld1
503360        Mild        Confirmed        HOld6
496413        Mild        Recovered        HOld4
234583        Mild        Confirmed        HOld9
667087        Moderate        Confirmed        HOld8
063442        Mild        Recovered        HOld3
923735        Moderate        Confirmed        HOld9
104457        Mild        Confirmed        HOld10
639791        Moderate        Recovered        HOld7
815838        Moderate        Confirmed        HOld7
972385        Moderate        Confirmed        HOld4
549626        Mild        Confirmed        HOld1
207733        Critical        Confirmed        HOld10
426841        Mild        Recovered        HOld2
639791        Moderate        Confirmed        HOld7
828973        Critical        Recovered        HOld5
980405        Moderate        Confirmed        HOld9
219074        Critical        Confirmed        HOld8
670244        Moderate        Recovered        HOld4
621732        Critical        Confirmed        HOld3
793525        Critical        Recovered        HOld3
796854        Moderate        Confirmed        HOld10
925533        Mild        Confirmed        HOld1
515645        Moderate        Confirmed        HOld9
056128        Moderate        Recovered        HOld9
177324        Critical        Confirmed        HOld10
625519        Moderate        Recovered        HOld5
774145        Critical        Confirmed        HOld7
312369        Moderate        Recovered        HOld4
212477        Mild        Confirmed        HOld9
249816        Mild        Recovered        HOld3
066890        Mild        Confirmed        HOld2
877379        Moderate        Confirmed        HOld4
487427        Mild        Recovered        HOld7
360536        Moderate        Confirmed        HOld9
712737        Critical        Confirmed        HOld3
762773        Critical        Confirmed        HOld10
566473        Moderate        Confirmed        HOld10
028079        Critical        Recovered        HOld1
202518        Critical        Confirmed        HOld3
815838        Moderate        Recovered        HOld7
883570        Mild        Confirmed        HOld2
531278        Moderate        Recovered        HOld1
426841        Moderate        Confirmed        HOld7
486189        Moderate        Recovered        HOld9
037273        Mild        Confirmed        HOld7
766360        Mild        Confirmed        HOld10
461104        Mild        Confirmed        HOld5
309009        Moderate        Recovered        HOld9
741315        Mild        Confirmed        HOld6
461104        Mild        Recovered        HOld5
893839        Mild        Confirmed        HOld8
633887        Critical        Confirmed        HOld1
164831        Critical        Recovered        HOld9
590957        Mild        Confirmed        HOld3
712796        Critical        Confirmed        HOld9
590957        Mild        Recovered        HOld3
612492        Mild        Confirmed        HOld6
570953        Moderate        Confirmed        HOld9
228590        Mild        Confirmed        HOld7
634024        Moderate        Recovered        HOld8
921263        Mild        Confirmed        HOld5
580233        Moderate        Confirmed        HOld7
766360        Mild        Recovered        HOld10
253137        Mild        Confirmed        HOld7
046788        Mild        Confirmed        HOld4
497956        Moderate        Confirmed        HOld4
893839        Mild        Recovered        HOld8
453908        Mild        Confirmed        HOld3
936161        Mild        Confirmed        HOld1
121542        Mild        Recovered        HOld2
865149        Moderate        Confirmed        HOld7
010675        Moderate        Confirmed        HOld8
987184        Moderate        Recovered        HOld1
986755        Critical        Confirmed        HOld7
742588        Critical        Recovered        HOld4
543733        Moderate        Confirmed        HOld10
773002        Moderate        Confirmed        HOld10
757274        Critical        Confirmed        HOld7
741315        Mild        Recovered        HOld6
439208        Mild        Confirmed        HOld8
328125        Moderate        Confirmed        HOld9
335874        Critical        Recovered        HOld4
408834        Critical        Confirmed        HOld4
647581        Critical        Confirmed        HOld9
272478        Critical        Recovered        HOld4
690329        Mild        Confirmed        HOld3
747278        Mild        Confirmed        HOld4
202518        Critical        Recovered        HOld3
774976        Moderate        Confirmed        HOld7
039839        Moderate        Confirmed        HOld1
132851        Mild        Recovered        HOld10
471514        Critical        Confirmed        HOld5
302559        Mild        Recovered        HOld10
820257        Mild        Confirmed        HOld7
925533        Mild        Recovered        HOld1
044864        Mild        Confirmed        HOld4
473354        Critical        Recovered        HOld8
039811        Critical        Confirmed        HOld10
151695        Critical        Recovered        HOld4
588384        Moderate        Confirmed        HOld7
188040        Moderate        Recovered        HOld10
516467        Critical        Confirmed        HOld8
601052        Mild        Recovered        HOld7
518518        Critical        Confirmed        HOld4
564143        Moderate        Confirmed        HOld4
756113        Moderate        Recovered        HOld4
151695        Moderate        Confirmed        HOld4
922383        Mild        Confirmed        HOld10
762773        Critical        Recovered        HOld10
263532        Moderate        Confirmed        HOld7
986755        Critical        Recovered        HOld7
651071        Mild        Confirmed        HOld3
360536        Moderate        Recovered        HOld9
352614        Critical        Confirmed        HOld7
558366        Critical        Confirmed        HOld3
612492        Mild        Recovered        HOld6
793525        Moderate        Confirmed        HOld9
775758        Moderate        Recovered        HOld9
791752        Moderate        Confirmed        HOld9
670244        Critical        Confirmed        HOld4
122106        Mild        Confirmed        HOld2
010070        Critical        Confirmed        HOld10
114719        Moderate        Confirmed        HOld7
653888        Moderate        Recovered        HOld6
223558        Moderate        Confirmed        HOld4
687939        Mild        Confirmed        HOld4
791858        Critical        Confirmed        HOld7
203546        Mild        Confirmed        HOld9
279995        Critical        Recovered        HOld8
910433        Moderate        Confirmed        HOld7
477043        Mild        Confirmed        HOld2
527710        Moderate        Recovered        HOld1
279995        Moderate        Confirmed        HOld7
354370        Critical        Recovered        HOld4
518000        Critical        Confirmed        HOld8
208345        Critical        Confirmed        HOld4
518518        Critical        Recovered        HOld4
384598        Moderate        Confirmed        HOld1
647581        Critical        Recovered        HOld9
838300        Mild        Confirmed        HOld2
328125        Moderate        Recovered        HOld9
527920        Mild        Confirmed        HOld6
205206        Mild        Confirmed        HOld10
299481        Mild        Confirmed        HOld8
114719        Moderate        Recovered        HOld7
362219        Mild        Confirmed        HOld1
219074        Critical        Recovered        HOld8
655812        Mild        Confirmed        HOld3
069245        Critical        Confirmed        HOld8
461859        Mild        Recovered        HOld2
838600        Critical        Confirmed        HOld9
895944        Critical        Recovered        HOld10
317964        Mild        Confirmed        HOld1
918748        Mild        Confirmed        HOld4
151695        Moderate        Recovered        HOld4
507956        Moderate        Confirmed        HOld6
431752        Mild        Recovered        HOld2
547076        Mild        Confirmed        HOld1
712796        Critical        Recovered        HOld9
501620        Critical        Confirmed        HOld9
558366        Critical        Recovered        HOld3
134949        Moderate        Confirmed        HOld7
547076        Mild        Recovered        HOld1
461859        Moderate        Confirmed        HOld7
618698        Mild        Recovered        HOld3
928450        Mild        Confirmed        HOld4
549626        Mild        Recovered        HOld1
763455        Critical        Confirmed        HOld3
444587        Moderate        Confirmed        HOld7
797077        Mild        Confirmed        HOld8
971218        Moderate        Confirmed        HOld1
223068        Mild        Confirmed        HOld3
042896        Critical        Confirmed        HOld4
624026        Mild        Confirmed        HOld8
601258        Mild        Recovered        HOld7
454856        Critical        Confirmed        HOld9
690329        Mild        Recovered        HOld3
187655        Mild        Confirmed        HOld2
960679        Mild        Confirmed        HOld2
279995        Moderate        Recovered        HOld7
409557        Moderate        Confirmed        HOld9
525783        Mild        Confirmed        HOld7
877379        Moderate        Recovered        HOld4
327507        Critical        Confirmed        HOld4
294413        Critical        Recovered        HOld3
820870        Critical        Confirmed        HOld3
200707        Mild        Confirmed        HOld2
964980        Mild        Recovered        HOld1
077589        Moderate        Confirmed        HOld1
844484        Critical        Confirmed        HOld10
187655        Mild        Recovered        HOld2
717630        Critical        Confirmed        HOld9
865149        Moderate        Recovered        HOld7
652299        Critical        Confirmed        HOld9
162207        Critical        Confirmed        HOld9
845345        Mild        Recovered        HOld2
276181        Mild        Confirmed        HOld1
021759        Critical        Recovered        HOld1
853041        Mild        Confirmed        HOld10
069245        Critical        Recovered        HOld8
908107        Critical        Confirmed        HOld8
793525        Moderate        Recovered        HOld9
535772        Critical        Confirmed        HOld1
004097        Mild        Confirmed        HOld4
568404        Critical        Recovered        HOld9
386204        Critical        Confirmed        HOld9
683311        Mild        Confirmed        HOld9
135877        Moderate        Confirmed        HOld7
207733        Critical        Recovered        HOld10
614598        Mild        Confirmed        HOld2
327507        Critical        Recovered        HOld4
193582        Mild        Confirmed        HOld8
515645        Moderate        Recovered        HOld9
081035        Mild        Confirmed        HOld9
794974        Critical        Confirmed        HOld4
761049        Mild        Recovered        HOld7
348132        Critical        Confirmed        HOld10
006607        Moderate        Confirmed        HOld7
176768        Critical        Confirmed        H-New-1
662327        Moderate        Recovered        HOld9
950691        Critical        Confirmed        H-New-1
449074        Moderate        Confirmed        HOld9
652299        Critical        Recovered        HOld9
812833        Mild        Confirmed        HOld4
747761        Mild        Confirmed        HOld4
453908        Mild        Recovered        HOld3
156734        Moderate        Confirmed        HOld9
613841        Mild        Confirmed        HOld8
362219        Mild        Recovered        HOld1
515257        Mild        Confirmed        HOld10
744714        Critical        Confirmed        HOld9
566473        Moderate        Recovered        HOld10
551915        Moderate        Confirmed        HOld4
958005        Mild        Recovered        HOld4
916188        Moderate        Confirmed        HOld5
140517        Moderate        Confirmed        HOld7
234583        Mild        Recovered        HOld9
605824        Mild        Confirmed        HOld7
523588        Critical        Recovered        HOld9
961050        Mild        Confirmed        HOld2
670244        Critical        Recovered        HOld4
714454        Mild        Confirmed        HOld7
010070        Critical        Recovered        HOld10
116189        Moderate        Confirmed        HOld9
766566        Critical        Confirmed        HOld10
077589        Moderate        Recovered        HOld1
979747        Moderate        Confirmed        HOld4
972385        Moderate        Recovered        HOld4
897808        Critical        Confirmed        HOld9
273558        Moderate        Confirmed        HOld9
940197        Critical        Confirmed        HOld4
380459        Mild        Confirmed        HOld9
419823        Mild        Confirmed        HOld4
745437        Mild        Recovered        HOld6
477945        Mild        Confirmed        HOld10
535772        Critical        Recovered        HOld1
799731        Moderate        Confirmed        HOld9
046788        Mild        Recovered        HOld4
617993        Critical        Confirmed        HOld1
862269        Mild        Confirmed        HOld2
193582        Mild        Recovered        HOld8
128324        Moderate        Confirmed        HOld7
145028        Mild        Confirmed        HOld2
173422        Mild        Confirmed        HOld2
285126        Moderate        Confirmed        HOld7
477945        Mild        Recovered        HOld10
832684        Critical        Confirmed        H-New-1
346373        Mild        Recovered        HOld8
264886        Critical        Confirmed        H-New-1
897808        Critical        Recovered        HOld9
061150        Moderate        Confirmed        HOld7
207044        Moderate        Confirmed        HOld1
253543        Mild        Confirmed        HOld8
862269        Mild        Recovered        HOld2
647581        Moderate        Confirmed        HOld1
957486        Critical        Confirmed        HOld9
722178        Critical        Confirmed        H-New-1
021759        Mild        Confirmed        HOld1
103616        Mild        Recovered        HOld7
486965        Mild        Confirmed        HOld4
166016        Mild        Confirmed        HOld3
910433        Moderate        Recovered        HOld7
348990        Critical        Confirmed        H-New-2
004097        Mild        Recovered        HOld4
202518        Moderate        Confirmed        HOld7
386204        Critical        Recovered        HOld9
615461        Critical        Confirmed        HOld9
085575        Moderate        Confirmed        HOld10
212985        Critical        Confirmed        H-New-2
346373        Critical        Confirmed        H-New-2
799731        Moderate        Recovered        HOld9
151695        Critical        Confirmed        H-New-2
605824        Mild        Recovered        HOld7
152178        Mild        Confirmed        HOld7
709915        Mild        Confirmed        HOld8
678899        Moderate        Confirmed        HOld1
830920        Critical        Confirmed        H-New-2
285126        Moderate        Recovered        HOld7
119036        Critical        Confirmed        H-New-3
591001        Critical        Confirmed        H-New-3
028079        Mild        Confirmed        HOld1
444587        Moderate        Recovered        HOld7
541335        Moderate        Confirmed        HOld7
044864        Mild        Recovered        HOld4
751797        Moderate        Confirmed        HOld7
682747        Moderate        Confirmed        HOld10
547522        Critical        Confirmed        H-New-3
246779        Mild        Confirmed        HOld8
717630        Critical        Recovered        HOld9
766332        Mild        Confirmed        HOld4
145308        Moderate        Confirmed        HOld5
918748        Mild        Recovered        HOld4
336593        Critical        Confirmed        H-New-3
116189        Moderate        Recovered        HOld9
646115        Mild        Confirmed        HOld2
717630        Moderate        Confirmed        HOld10
387481        Critical        Confirmed        HOld9
285912        Moderate        Confirmed        HOld1
677073        Mild        Confirmed        HOld3
075323        Mild        Confirmed        HOld8
713925        Critical        Confirmed        H-New-3
532654        Critical        Confirmed        H-New-4
415036        Mild        Confirmed        H-New-3
411990        Critical        Confirmed        H-New-4
085575        Moderate        Recovered        HOld10
266118        Moderate        Confirmed        HOld10
061150        Moderate        Recovered        HOld7
690329        Moderate        Confirmed        HOld9
820870        Critical        Recovered        HOld3
830993        Critical        Confirmed        HOld3
496480        Mild        Confirmed        HOld10
513416        Moderate        Confirmed        HOld7
242536        Mild        Confirmed        H-New-2
261809        Critical        Confirmed        H-New-4
403907        Moderate        Confirmed        HOld9
722178        Critical        Recovered        H-New-1
561994        Mild        Confirmed        HOld2
227313        Moderate        Confirmed        HOld1
239135        Mild        Confirmed        HOld10
844484        Critical        Recovered        HOld10
918814        Mild        Confirmed        H-New-4
615461        Critical        Recovered        HOld9
937997        Critical        Confirmed        HOld10
063442        Moderate        Confirmed        H-New-2
200707        Mild        Recovered        HOld2
521118        Moderate        Confirmed        H-New-2
225858        Mild        Recovered        HOld10
324640        Critical        Confirmed        H-New-4
187655        Mild        Confirmed        HOld2
957486        Critical        Recovered        HOld9
026092        Critical        Confirmed        H-New-4
991674        Critical        Recovered        HOld1
549626        Mild        Confirmed        HOld1
928450        Mild        Recovered        HOld4
984963        Critical        Confirmed        HOld9
497956        Moderate        Recovered        HOld4
820870        Critical        Confirmed        HOld9
709915        Mild        Recovered        HOld8
255112        Critical        Confirmed        HOld1
668335        Mild        Confirmed        HOld3
797916        Critical        Confirmed        H-New-1
475664        Moderate        Recovered        HOld9
651243        Moderate        Confirmed        H-New-4
303259        Moderate        Recovered        HOld8
869012        Moderate        Confirmed        HOld9
713925        Critical        Recovered        H-New-3
302559        Moderate        Confirmed        HOld10
820870        Critical        Recovered        HOld9
589789        Moderate        Confirmed        HOld10
103695        Mild        Confirmed        HOld3
426841        Moderate        Recovered        HOld7
320440        Critical        Confirmed        HOld9
747761        Mild        Recovered        HOld4
179855        Moderate        Confirmed        HOld4
667087        Moderate        Recovered        HOld8
727291        Mild        Confirmed        HOld10
272478        Critical        Confirmed        H-New-3
604417        Critical        Recovered        HOld2
452711        Mild        Confirmed        HOld9
927171        Moderate        Confirmed        HOld1
259771        Moderate        Recovered        HOld1
638027        Moderate        Confirmed        HOld1
111063        Critical        Confirmed        HOld2
734198        Critical        Confirmed        H-New-5
253137        Mild        Recovered        HOld7
992614        Mild        Confirmed        HOld2
986755        Moderate        Confirmed        HOld8
515257        Mild        Recovered        HOld10
675494        Mild        Confirmed        HOld2
336593        Critical        Recovered        H-New-3
356367        Mild        Confirmed        HOld3
293148        Critical        Confirmed        H-New-3
080439        Moderate        Confirmed        H-New-4
373688        Mild        Confirmed        HOld10
088262        Moderate        Confirmed        HOld1
042896        Critical        Recovered        HOld4
122175        Moderate        Confirmed        HOld7
253543        Mild        Recovered        HOld8
928736        Moderate        Confirmed        HOld5
339347        Mild        Confirmed        HOld7
786759        Critical        Confirmed        H-New-5
192165        Moderate        Confirmed        H-New-4
396517        Mild        Confirmed        HOld2
239135        Mild        Recovered        HOld10
648205        Critical        Confirmed        H-New-5
388912        Moderate        Recovered        HOld1
822795        Moderate        Confirmed        HOld6
054514        Mild        Confirmed        HOld2
683311        Mild        Recovered        HOld9
064455        Critical        Confirmed        HOld4
361600        Moderate        Confirmed        HOld8
335351        Critical        Confirmed        H-New-5
221775        Critical        Confirmed        H-New-5
822795        Moderate        Recovered        HOld6
937027        Moderate        Confirmed        HOld1
734594        Moderate        Confirmed        H-New-4
110196        Mild        Confirmed        HOld4
918814        Mild        Recovered        H-New-4
351879        Mild        Confirmed        HOld1
503360        Mild        Recovered        HOld6
990770        Mild        Confirmed        HOld6
145308        Moderate        Recovered        HOld5
771530        Critical        Confirmed        H-New-6
348636        Critical        Confirmed        H-New-6
319620        Moderate        Confirmed        HOld1
830993        Critical        Recovered        HOld3
895422        Mild        Confirmed        HOld3
351879        Mild        Recovered        HOld1
063488        Mild        Confirmed        HOld3
203546        Mild        Recovered        HOld9
319516        Mild        Confirmed        HOld4
409557        Moderate        Recovered        HOld9
340201        Moderate        Confirmed        HOld1
292838        Critical        Confirmed        H-New-6
452711        Mild        Recovered        HOld9
865149        Moderate        Confirmed        H-New-6
786234        Moderate        Confirmed        HOld6
828491        Moderate        Recovered        HOld9
247309        Critical        Confirmed        HOld3
875109        Mild        Confirmed        HOld4
504578        Critical        Confirmed        H-New-6
738865        Moderate        Confirmed        HOld9
099617        Mild        Confirmed        HOld1
875590        Critical        Confirmed        H-New-6
712737        Critical        Recovered        HOld3
760667        Mild        Confirmed        HOld10
099617        Mild        Recovered        HOld1
114719        Moderate        Confirmed        H-New-6
283260        Moderate        Confirmed        H-New-6
273532        Moderate        Confirmed        HOld9
026757        Mild        Confirmed        HOld10
439208        Mild        Recovered        HOld8
110433        Critical        Confirmed        HOld3
653888        Critical        Confirmed        H-New-7
998019        Moderate        Confirmed        H-New-5
260726        Critical        Confirmed        H-New-7
020421        Mild        Confirmed        HOld7
049653        Mild        Confirmed        HOld10
182410        Critical        Confirmed        H-New-7
292838        Critical        Recovered        H-New-6
241644        Critical        Confirmed        H-New-6
426841        Moderate        Confirmed        H-New-6
502585        Moderate        Confirmed        HOld1
651243        Moderate        Recovered        H-New-4
166392        Critical        Confirmed        H-New-7
621732        Critical        Recovered        HOld3
044052        Mild        Confirmed        H-New-3
145028        Mild        Recovered        HOld2
902244        Critical        Confirmed        HOld3
266118        Moderate        Recovered        HOld10
042753        Critical        Confirmed        H-New-7
712737        Mild        Confirmed        HOld3
960679        Mild        Recovered        HOld2
430683        Moderate        Confirmed        HOld6
